ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,long,tense,approx,dors
ɾ̤ˤ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,0,+,+,0,0,0,-,+,-
r̤ˤ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,0,+,+,0,0,0,+,+,-
ʙ̤ˤ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,0,+,+,0,0,0,0,+,-
ⱱ̤ˤ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,0,+,+,0,0,0,0,+,-
ʀ̤̥,-,+,+,+,0,-,-,0,-,+,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʀ̤,-,+,+,+,0,-,-,0,+,+,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʀ̤ˤ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,-,-,+,+,0,0,0,0,+,+
ɽ̤ʲ,-,+,+,+,0,-,-,0,+,+,0,-,+,-,-,+,0,-,0,0,0,0,+,-
ɽ̤ˠ,-,+,+,+,0,-,-,0,+,+,0,-,+,-,-,+,0,+,0,0,0,0,+,-
ɽ̤ʷ,-,+,+,+,0,-,-,0,+,+,0,-,+,-,-,+,0,+,+,0,0,0,+,-
ɾ̤ʲ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,-,0,0,0,-,+,-
r̤ʲ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,-,0,0,0,+,+,-
ɾ̤ˠ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,+,0,0,0,-,+,-
r̤ˠ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,+,0,0,0,+,+,-
ɾ̤ʷ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,+,+,0,0,-,+,-
r̤ʷ,-,+,+,+,0,-,-,0,+,+,0,+,+,-,-,+,0,+,+,0,0,+,+,-
ʙ̤ʲ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,-,0,0,0,0,+,-
ⱱ̤ʲ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,-,0,0,0,0,+,-
ʙ̤ˠ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,+,0,0,0,0,+,-
ⱱ̤ˠ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,+,0,0,0,0,+,-
ʙ̤ʷ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,+,+,0,0,0,+,-
ⱱ̤ʷ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,+,+,0,+,+,0,0,0,+,-
ʀ̤ʲ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʀ̤ˠ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,-,+,-,+,0,0,0,0,+,+
ʀ̤ʷ,-,+,+,+,0,-,-,0,+,+,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ɭ̥,-,+,+,+,0,+,-,0,-,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̝,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̞,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̺,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̟,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̠,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭᵊ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ˈɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭᵗ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ˌɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̾,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭᶻ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̚,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭᵈ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ʰ̵ɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭᵍ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ᵈ̵ɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ͉,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̪,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ᵇ̵ɭ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̻,-,+,+,+,0,+,-,0,+,0,0,-,+,+,-,0,0,0,0,0,0,0,+,-
l̥,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̝,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̞,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̪̺,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̺,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̟,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̠,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
lᵊ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ˈl,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
lᵗ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ˌl,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̾,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
lᶻ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̚,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
lᵈ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ʰ̵l,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
lᵍ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ᵈ̵l,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l͉,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
l̪,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ᵇ̵l,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,0,0,0,0,0,+,-
ɫ̥,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̝,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̞,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̺,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̟,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̪,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫᵊ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ˈɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫᵗ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̾,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ˌɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫᶻ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̚,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫᵈ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ʰ̵ɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫᵍ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ᵈ̵ɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ͉,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̠,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
ᵇ̵ɫ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,0,+,0,0,0,0,+,+
l̪̥,-,+,+,+,0,+,-,0,-,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̝,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̞,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̻,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̻,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̟,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̠,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪ᵊ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ˈl̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪ᵗ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ˌl̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪ᶻ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̾,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̚,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪ᵈ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ʰ̵l̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪ᵍ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ᵈ̵l̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪͉,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ᵇ̵l̪,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,0,0,0,0,0,+,-
ɫ̻,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,0,+,0,0,0,0,+,+
ɭ̥ˤ,-,+,+,+,0,+,-,0,-,0,0,-,+,-,-,0,+,+,0,0,0,0,+,-
ɭˤ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,0,+,+,0,0,0,0,+,-
l̥ˤ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,0,+,+,0,0,0,0,+,-
ɫ̥ˤ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,0,+,+,0,0,0,0,+,+
lˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,+,+,0,0,0,0,+,-
ɫˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,0,+,+,0,0,0,0,+,+
l̪̥ˤ,-,+,+,+,0,+,-,0,-,0,0,+,+,+,-,0,+,+,0,0,0,0,+,-
l̪ˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,0,+,+,0,0,0,0,+,-
ʟ̥,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̝,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̞,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̟,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̠,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟᵊ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ˈʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟᵗ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ˌʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̾,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟᶻ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̚,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟᵈ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʰ̵ʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟᵍ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ᵈ̵ʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ͉,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̪,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ᵇ̵ʟ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,-,+,0,0,0,0,+,+
ʟ̥ˤ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,-,+,+,0,0,0,0,+,+
ʟˤ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,-,+,+,0,0,0,0,+,+
lʳ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,0,+,0,0,0,+,-
ɭʳ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,0,+,0,0,0,+,-
ɭʴ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,0,+,0,0,0,+,-
lʴ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,0,+,0,0,0,+,-
ɭ̥ʲ,-,+,+,+,0,+,-,0,-,0,0,-,+,-,-,+,0,-,0,0,0,0,+,-
ɭʲ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,-,0,0,0,0,+,-
ɭᶣ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,-,+,0,0,0,+,-
ɭ̥ˠ,-,+,+,+,0,+,-,0,-,0,0,-,+,-,-,+,0,+,0,0,0,0,+,-
ɭˠ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,0,0,0,0,+,-
ɭ̥ʷ,-,+,+,+,0,+,-,0,-,0,0,-,+,-,-,+,0,+,+,0,0,0,+,-
ɭʷ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,+,0,0,0,+,-
ɫʳ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,+,0,0,0,+,+
ɭʷˠ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,+,0,0,0,+,-
ɫʴ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,+,0,0,0,+,+
ɭʲʷ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,0,+,+,0,0,0,+,-
l̪ʳ,-,+,+,+,0,+,-,0,+,0,0,-,+,+,-,+,0,0,+,0,0,0,+,-
l̪ʴ,-,+,+,+,0,+,-,0,+,0,0,-,+,+,-,+,0,0,+,0,0,0,+,-
l̥ʲ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,-,0,0,0,0,+,-
ɫ̥ʲ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,-,0,0,0,0,+,+
lʲ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,-,0,0,0,0,+,-
ɫʲ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,-,0,0,0,0,+,+
lᶣ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,-,+,0,0,0,+,-
ɫᶣ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,-,+,0,0,0,+,+
l̥ˠ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,+,0,0,0,0,+,-
ɫ̥ˠ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,+,0,0,0,0,+,+
lˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,0,0,0,0,+,-
ɫˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,0,0,0,0,+,+
l̥ʷ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,+,+,0,0,0,+,-
ɫ̥ʷ,-,+,+,+,0,+,-,0,-,0,0,+,+,-,-,+,0,+,+,0,0,0,+,+
lʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,-
ɫʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,+
lʷˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,-
ɫʷˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,+
lʲʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,-
ɫʲʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,0,+,+,0,0,0,+,+
l̪̥ʲ,-,+,+,+,0,+,-,0,-,0,0,+,+,+,-,+,0,-,0,0,0,0,+,-
l̪ʲ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,-,0,0,0,0,+,-
l̪ᶣ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,-,+,0,0,0,+,-
l̪̥ˠ,-,+,+,+,0,+,-,0,-,0,0,+,+,+,-,+,0,+,0,0,0,0,+,-
l̪ˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,+,0,0,0,0,+,-
l̪̥ʷ,-,+,+,+,0,+,-,0,-,0,0,+,+,+,-,+,0,+,+,0,0,0,+,-
l̪ʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,+,+,0,0,0,+,-
l̪ʷˠ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,+,+,0,0,0,+,-
l̪ʲʷ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,0,+,+,0,0,0,+,-
ʎ̥,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̥ʲ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʟ̥ʲ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̝,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̞,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̟,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̠,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᵊ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ˈʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᵗ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ˌʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̾,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᶻ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̚,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᵈ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎʲ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʟʲ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʰ̵ʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᵍ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ᵈ̵ʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ͉,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎ̪,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ᵇ̵ʎ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,0,0,0,0,+,+
ʎᶣ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,+,0,0,0,+,+
ʟᶣ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,-,+,0,0,0,+,+
ʎ̥ˠ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,+,0,0,0,0,+,+
ʟ̥ˠ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,+,0,0,0,0,+,+
ʎˠ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,0,0,0,0,+,+
ʎ̥ʷ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʟ̥ʷ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʎʷ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʟʷ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʎʷˠ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʟʷˠ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʎʲʷ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʟʲʷ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,-,+,+,0,0,0,+,+
ʎʳ,-,+,+,+,0,+,-,0,+,0,0,-,-,0,-,+,-,-,+,0,0,0,+,+
ʎʴ,-,+,+,+,0,+,-,0,+,0,0,-,-,0,-,+,-,-,+,0,0,0,+,+
ʟʳ,-,+,+,+,0,+,-,0,+,0,0,-,-,0,-,+,-,+,+,0,0,0,+,+
ʟʴ,-,+,+,+,0,+,-,0,+,0,0,-,-,0,-,+,-,+,+,0,0,0,+,+
ʎ̥ˤ,-,+,+,+,0,+,-,0,-,0,0,0,-,0,-,+,+,+,0,0,0,0,+,+
ʎˤ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,+,+,0,0,0,0,+,+
ʎʷˤ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,+,+,+,0,0,0,+,+
ʟʷˤ,-,+,+,+,0,+,-,0,+,0,0,0,-,0,-,+,+,+,+,0,0,0,+,+
ɭʷˤ,-,+,+,+,0,+,-,0,+,0,0,-,+,-,-,+,+,+,+,0,0,0,+,-
lʷˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,+,+,+,0,0,0,+,-
ɫʷˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,-,-,+,+,+,+,0,0,0,+,+
l̪ʷˤ,-,+,+,+,0,+,-,0,+,0,0,+,+,+,-,+,+,+,+,0,0,0,+,-
ˀɭ,-,+,+,+,0,+,-,0,+,0,+,-,+,-,-,0,0,0,0,0,0,0,+,-
ɭ̰,-,+,+,+,0,+,-,0,+,0,+,-,+,-,-,0,0,0,0,0,0,0,+,-
ˀl,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-
l̰,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-
ˀɫ,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,0,+,0,0,0,0,+,+
ɫ̰,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,0,+,0,0,0,0,+,+
ˀl̪,-,+,+,+,0,+,-,0,+,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-
l̪̰,-,+,+,+,0,+,-,0,+,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-
ɭ̰ˤ,-,+,+,+,0,+,-,0,+,0,+,-,+,-,-,0,+,+,0,0,0,0,+,-
l̰ˤ,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,+,+,0,0,0,0,+,-
ɫ̰ˤ,-,+,+,+,0,+,-,0,+,0,+,+,+,-,-,0,+,+,0,0,0,0,+,+
l̪̰ˤ,-,+,+,+,0,+,-,0,+,0,+,+,+,+,-,0,+,+,0,0,0,0,+,-
